Calculation1,School,City,County/State/Country,Measure Names,Measure Values
EL CAPITAN HIGH SCHOOL051346,EL CAPITAN HIGH SCHOOL,Lakeside,San Diego,App GPA,3.915789474
EL CAPITAN HIGH SCHOOL054697,EL CAPITAN HIGH SCHOOL,Merced,Merced,Enrl GPA,
EL CAPITAN HIGH SCHOOL054697,EL CAPITAN HIGH SCHOOL,Merced,Merced,Adm GPA,4.241818182
EL CAPITAN HIGH SCHOOL054697,EL CAPITAN HIGH SCHOOL,Merced,Merced,App GPA,4.087446809
EL CERRITO HIGH SCHOOL050815,EL CERRITO HIGH SCHOOL,El Cerrito,Contra Costa,Enrl GPA,4.101875
EL CERRITO HIGH SCHOOL050815,EL CERRITO HIGH SCHOOL,El Cerrito,Contra Costa,Adm GPA,4.111923077
EL CERRITO HIGH SCHOOL050815,EL CERRITO HIGH SCHOOL,El Cerrito,Contra Costa,App GPA,3.964916667
EL DIAMANTE HIGH SCHOOL053699,EL DIAMANTE HIGH SCHOOL,Visalia,Tulare,Enrl GPA,
EL DIAMANTE HIGH SCHOOL053699,EL DIAMANTE HIGH SCHOOL,Visalia,Tulare,Adm GPA,
EL DIAMANTE HIGH SCHOOL053699,EL DIAMANTE HIGH SCHOOL,Visalia,Tulare,App GPA,3.885
EL DORADO HIGH SCHOOL052478,EL DORADO HIGH SCHOOL,Placentia,Orange,Enrl GPA,
EL DORADO HIGH SCHOOL052478,EL DORADO HIGH SCHOOL,Placentia,Orange,Adm GPA,4.23
EL DORADO HIGH SCHOOL052478,EL DORADO HIGH SCHOOL,Placentia,Orange,App GPA,4.0006
EL DORADO HIGH SCHOOL052485,EL DORADO HIGH SCHOOL,Placerville,El Dorado,Enrl GPA,
EL DORADO HIGH SCHOOL052485,EL DORADO HIGH SCHOOL,Placerville,El Dorado,Adm GPA,
EL DORADO HIGH SCHOOL052485,EL DORADO HIGH SCHOOL,Placerville,El Dorado,App GPA,3.923157895
EL MODENA HIGH SCHOOL052276,EL MODENA HIGH SCHOOL,Orange,Orange,Enrl GPA,
EL MODENA HIGH SCHOOL052276,EL MODENA HIGH SCHOOL,Orange,Orange,Adm GPA,4.324
EL MODENA HIGH SCHOOL052276,EL MODENA HIGH SCHOOL,Orange,Orange,App GPA,4.03
EL MONTE HIGH SCHOOL050835,EL MONTE HIGH SCHOOL,El Monte,Los Angeles,Enrl GPA,
EL MONTE HIGH SCHOOL050835,EL MONTE HIGH SCHOOL,El Monte,Los Angeles,Adm GPA,
EL MONTE HIGH SCHOOL050835,EL MONTE HIGH SCHOOL,El Monte,Los Angeles,App GPA,3.885
EL RANCHO HIGH SCHOOL052655,EL RANCHO HIGH SCHOOL,Pico Rivera,Los Angeles,Enrl GPA,
EL RANCHO HIGH SCHOOL052655,EL RANCHO HIGH SCHOOL,Pico Rivera,Los Angeles,Adm GPA,4.194285714
EL RANCHO HIGH SCHOOL052655,EL RANCHO HIGH SCHOOL,Pico Rivera,Los Angeles,App GPA,3.725
EL SEGUNDO HIGH SCHOOL050845,EL SEGUNDO HIGH SCHOOL,El Segundo,Los Angeles,Enrl GPA,
EL SEGUNDO HIGH SCHOOL050845,EL SEGUNDO HIGH SCHOOL,El Segundo,Los Angeles,Adm GPA,4.212222222
EL SEGUNDO HIGH SCHOOL050845,EL SEGUNDO HIGH SCHOOL,El Segundo,Los Angeles,App GPA,3.996666667
EL TORO HIGH SCHOOL051974,EL TORO HIGH SCHOOL,Lake Forest,Orange,Enrl GPA,
EL TORO HIGH SCHOOL051974,EL TORO HIGH SCHOOL,Lake Forest,Orange,Adm GPA,4.27
EL TORO HIGH SCHOOL051974,EL TORO HIGH SCHOOL,Lake Forest,Orange,App GPA,3.895322581
ELEANOR ROOSEVELT HIGH SCHOOL054078,ELEANOR ROOSEVELT HIGH SCHOOL,Eastvale,Riverside,Enrl GPA,4.17375
ELEANOR ROOSEVELT HIGH SCHOOL054078,ELEANOR ROOSEVELT HIGH SCHOOL,Eastvale,Riverside,Adm GPA,4.228333333
ELEANOR ROOSEVELT HIGH SCHOOL054078,ELEANOR ROOSEVELT HIGH SCHOOL,Eastvale,Riverside,App GPA,3.906804124
ELIZABETH LEARNING CENTER050697,ELIZABETH LEARNING CENTER,Cudahy,Los Angeles,Enrl GPA,
ELIZABETH LEARNING CENTER050697,ELIZABETH LEARNING CENTER,Cudahy,Los Angeles,Adm GPA,
ELIZABETH LEARNING CENTER050697,ELIZABETH LEARNING CENTER,Cudahy,Los Angeles,App GPA,3.6755
ELK GROVE HIGH SCHOOL050825,ELK GROVE HIGH SCHOOL,Elk Grove,Sacramento,Enrl GPA,
ELK GROVE HIGH SCHOOL050825,ELK GROVE HIGH SCHOOL,Elk Grove,Sacramento,Adm GPA,
ELK GROVE HIGH SCHOOL050825,ELK GROVE HIGH SCHOOL,Elk Grove,Sacramento,App GPA,3.924827586
ELSIE ALLEN HIGH SCHOOL053316,ELSIE ALLEN HIGH SCHOOL,Santa Rosa,Sonoma,Enrl GPA,
ELSIE ALLEN HIGH SCHOOL053316,ELSIE ALLEN HIGH SCHOOL,Santa Rosa,Sonoma,Adm GPA,
ELSIE ALLEN HIGH SCHOOL053316,ELSIE ALLEN HIGH SCHOOL,Santa Rosa,Sonoma,App GPA,3.718571429
ELSINORE HIGH SCHOOL050855,ELSINORE HIGH SCHOOL,Wildomar,Riverside,Enrl GPA,
ELSINORE HIGH SCHOOL050855,ELSINORE HIGH SCHOOL,Wildomar,Riverside,Adm GPA,4.312
ELSINORE HIGH SCHOOL050855,ELSINORE HIGH SCHOOL,Wildomar,Riverside,App GPA,4.0046875
EMERY SECONDARY SCHOOL050860,EMERY SECONDARY SCHOOL,Emeryville,Alameda,Enrl GPA,
EMERY SECONDARY SCHOOL050860,EMERY SECONDARY SCHOOL,Emeryville,Alameda,Adm GPA,
EMERY SECONDARY SCHOOL050860,EMERY SECONDARY SCHOOL,Emeryville,Alameda,App GPA,3.833
ENCINA HIGH SCHOOL052716,ENCINA HIGH SCHOOL,Sacramento,Sacramento,Enrl GPA,
ENCINA HIGH SCHOOL052716,ENCINA HIGH SCHOOL,Sacramento,Sacramento,Adm GPA,
ENCINA HIGH SCHOOL052716,ENCINA HIGH SCHOOL,Sacramento,Sacramento,App GPA,3.8725
ENCINAL HIGH SCHOOL050015,ENCINAL HIGH SCHOOL,Alameda,Alameda,Enrl GPA,4.284285714
ENCINAL HIGH SCHOOL050015,ENCINAL HIGH SCHOOL,Alameda,Alameda,Adm GPA,4.293
ENCINAL HIGH SCHOOL050015,ENCINAL HIGH SCHOOL,Alameda,Alameda,App GPA,4.018115942
ENGINEERING & TECH ACAD AT THS054441,ENGINEERING & TECH ACAD AT THS,Los Angeles,Los Angeles,Enrl GPA,
ENGINEERING & TECH ACAD AT THS054441,ENGINEERING & TECH ACAD AT THS,Los Angeles,Los Angeles,Adm GPA,
ENGINEERING & TECH ACAD AT THS054441,ENGINEERING & TECH ACAD AT THS,Los Angeles,Los Angeles,App GPA,3.85125
ENTERPRISE HIGH SCHOOL052580,ENTERPRISE HIGH SCHOOL,Redding,Shasta,Enrl GPA,
ENTERPRISE HIGH SCHOOL052580,ENTERPRISE HIGH SCHOOL,Redding,Shasta,Adm GPA,
ENTERPRISE HIGH SCHOOL052580,ENTERPRISE HIGH SCHOOL,Redding,Shasta,App GPA,3.705555556
ENTREPRENEUR HIGH SCHOOL052744,ENTREPRENEUR HIGH SCHOOL,Highland,San Bernardino,Enrl GPA,
ENTREPRENEUR HIGH SCHOOL052744,ENTREPRENEUR HIGH SCHOOL,Highland,San Bernardino,Adm GPA,
ENTREPRENEUR HIGH SCHOOL052744,ENTREPRENEUR HIGH SCHOOL,Highland,San Bernardino,App GPA,3.798
ENVIRONMENTAL CHARTER HS051472,ENVIRONMENTAL CHARTER HS,Lawndale,Los Angeles,Enrl GPA,
ENVIRONMENTAL CHARTER HS051472,ENVIRONMENTAL CHARTER HS,Lawndale,Los Angeles,Adm GPA,4.23
ENVIRONMENTAL CHARTER HS051472,ENVIRONMENTAL CHARTER HS,Lawndale,Los Angeles,App GPA,3.884375
ENVISION ACAD ARTS/TECHNOLOGY054285,ENVISION ACAD ARTS/TECHNOLOGY,Oakland,Alameda,Enrl GPA,
ENVISION ACAD ARTS/TECHNOLOGY054285,ENVISION ACAD ARTS/TECHNOLOGY,Oakland,Alameda,Adm GPA,
ENVISION ACAD ARTS/TECHNOLOGY054285,ENVISION ACAD ARTS/TECHNOLOGY,Oakland,Alameda,App GPA,3.4285
ERNEST RIGHETTI HIGH SCHOOL053303,ERNEST RIGHETTI HIGH SCHOOL,Santa Maria,Santa Barbara,Enrl GPA,4.068
ERNEST RIGHETTI HIGH SCHOOL053303,ERNEST RIGHETTI HIGH SCHOOL,Santa Maria,Santa Barbara,Adm GPA,4.128181818
ERNEST RIGHETTI HIGH SCHOOL053303,ERNEST RIGHETTI HIGH SCHOOL,Santa Maria,Santa Barbara,App GPA,4.011190476
ERNEST S MCBRIDE SR HIGH SCHL054725,ERNEST S MCBRIDE SR HIGH SCHL,Long Beach,Los Angeles,Enrl GPA,
ERNEST S MCBRIDE SR HIGH SCHL054725,ERNEST S MCBRIDE SR HIGH SCHL,Long Beach,Los Angeles,Adm GPA,
ERNEST S MCBRIDE SR HIGH SCHL054725,ERNEST S MCBRIDE SR HIGH SCHL,Long Beach,Los Angeles,App GPA,3.934242424
ESCALON HIGH SCHOOL050870,ESCALON HIGH SCHOOL,Escalon,San Joaquin,Enrl GPA,
ESCALON HIGH SCHOOL050870,ESCALON HIGH SCHOOL,Escalon,San Joaquin,Adm GPA,
ESCALON HIGH SCHOOL050870,ESCALON HIGH SCHOOL,Escalon,San Joaquin,App GPA,3.44
ESCONDIDO CHARTER HIGH SCHOOL050871,ESCONDIDO CHARTER HIGH SCHOOL,Escondido,San Diego,Enrl GPA,
ESCONDIDO CHARTER HIGH SCHOOL050871,ESCONDIDO CHARTER HIGH SCHOOL,Escondido,San Diego,Adm GPA,
ESCONDIDO CHARTER HIGH SCHOOL050871,ESCONDIDO CHARTER HIGH SCHOOL,Escondido,San Diego,App GPA,4.076363636
ESCONDIDO HIGH SCHOOL050880,ESCONDIDO HIGH SCHOOL,Escondido,San Diego,Enrl GPA,
ESCONDIDO HIGH SCHOOL050880,ESCONDIDO HIGH SCHOOL,Escondido,San Diego,Adm GPA,
ESCONDIDO HIGH SCHOOL050880,ESCONDIDO HIGH SCHOOL,Escondido,San Diego,App GPA,3.729666667
ESPARTO HIGH SCHOOL050885,ESPARTO HIGH SCHOOL,Esparto,Yolo,Enrl GPA,
ESPARTO HIGH SCHOOL050885,ESPARTO HIGH SCHOOL,Esparto,Yolo,Adm GPA,
ESPARTO HIGH SCHOOL050885,ESPARTO HIGH SCHOOL,Esparto,Yolo,App GPA,4.171666667
ESPERANZA COLLEGE PREP051633,ESPERANZA COLLEGE PREP,Los Angeles,Los Angeles,Enrl GPA,
ESPERANZA COLLEGE PREP051633,ESPERANZA COLLEGE PREP,Los Angeles,Los Angeles,Adm GPA,
ESPERANZA COLLEGE PREP051633,ESPERANZA COLLEGE PREP,Los Angeles,Los Angeles,App GPA,3.814444444
ESPERANZA HIGH SCHOOL050093,ESPERANZA HIGH SCHOOL,Anaheim,Orange,Enrl GPA,
ESPERANZA HIGH SCHOOL050093,ESPERANZA HIGH SCHOOL,Anaheim,Orange,Adm GPA,
ESPERANZA HIGH SCHOOL050093,ESPERANZA HIGH SCHOOL,Anaheim,Orange,App GPA,4.052857143
ESTANCIA HIGH SCHOOL050684,ESTANCIA HIGH SCHOOL,Costa Mesa,Orange,Enrl GPA,
ESTANCIA HIGH SCHOOL050684,ESTANCIA HIGH SCHOOL,Costa Mesa,Orange,Adm GPA,4.105
ESTANCIA HIGH SCHOOL050684,ESTANCIA HIGH SCHOOL,Costa Mesa,Orange,App GPA,3.901111111
ETIWANDA HIGH SCHOOL050888,ETIWANDA HIGH SCHOOL,Etiwanda,San Bernardino,Enrl GPA,
ETIWANDA HIGH SCHOOL050888,ETIWANDA HIGH SCHOOL,Etiwanda,San Bernardino,Adm GPA,4.22625
ETIWANDA HIGH SCHOOL050888,ETIWANDA HIGH SCHOOL,Etiwanda,San Bernardino,App GPA,3.874268293
EUREKA SENIOR HIGH SCHOOL050900,EUREKA SENIOR HIGH SCHOOL,Eureka,Humboldt,Enrl GPA,
EUREKA SENIOR HIGH SCHOOL050900,EUREKA SENIOR HIGH SCHOOL,Eureka,Humboldt,Adm GPA,
EUREKA SENIOR HIGH SCHOOL050900,EUREKA SENIOR HIGH SCHOOL,Eureka,Humboldt,App GPA,4.01
EVEREST PUBLIC HIGH SCHOOL054429,EVEREST PUBLIC HIGH SCHOOL,Redwood City,San Mateo,Enrl GPA,
EVEREST PUBLIC HIGH SCHOOL054429,EVEREST PUBLIC HIGH SCHOOL,Redwood City,San Mateo,Adm GPA,
EVEREST PUBLIC HIGH SCHOOL054429,EVEREST PUBLIC HIGH SCHOOL,Redwood City,San Mateo,App GPA,3.882105263
EVERETT ALVAREZ HIGH SCHOOL052778,EVERETT ALVAREZ HIGH SCHOOL,Salinas,Monterey,Enrl GPA,4.06
EVERETT ALVAREZ HIGH SCHOOL052778,EVERETT ALVAREZ HIGH SCHOOL,Salinas,Monterey,Adm GPA,4.148461538
EVERETT ALVAREZ HIGH SCHOOL052778,EVERETT ALVAREZ HIGH SCHOOL,Salinas,Monterey,App GPA,3.863773585
EVERGREEN VALLEY HIGH SCHOOL053169,EVERGREEN VALLEY HIGH SCHOOL,San Jose,Santa Clara,Enrl GPA,4.224
EVERGREEN VALLEY HIGH SCHOOL053169,EVERGREEN VALLEY HIGH SCHOOL,San Jose,Santa Clara,Adm GPA,4.24125
EVERGREEN VALLEY HIGH SCHOOL053169,EVERGREEN VALLEY HIGH SCHOOL,San Jose,Santa Clara,App GPA,3.980803571
EXCELSIOR CHARTER SCHOOLS053686,EXCELSIOR CHARTER SCHOOLS,Victorville,San Bernardino,Enrl GPA,
EXCELSIOR CHARTER SCHOOLS053686,EXCELSIOR CHARTER SCHOOLS,Victorville,San Bernardino,Adm GPA,
EXCELSIOR CHARTER SCHOOLS053686,EXCELSIOR CHARTER SCHOOLS,Victorville,San Bernardino,App GPA,4.03
EXETER UNION HIGH SCHOOL050905,EXETER UNION HIGH SCHOOL,Exeter,Tulare,Enrl GPA,
EXETER UNION HIGH SCHOOL050905,EXETER UNION HIGH SCHOOL,Exeter,Tulare,Adm GPA,4.324285714
EXETER UNION HIGH SCHOOL050905,EXETER UNION HIGH SCHOOL,Exeter,Tulare,App GPA,4.166666667
FAIRFAX HIGH SCHOOL051590,FAIRFAX HIGH SCHOOL,Los Angeles,Los Angeles,Enrl GPA,4.204615385
FAIRFAX HIGH SCHOOL051590,FAIRFAX HIGH SCHOOL,Los Angeles,Los Angeles,Adm GPA,4.214814815
FAIRFAX HIGH SCHOOL051590,FAIRFAX HIGH SCHOOL,Los Angeles,Los Angeles,App GPA,3.922298851
FAIRFIELD HIGH SCHOOL050911,FAIRFIELD HIGH SCHOOL,Fairfield,Solano,Enrl GPA,
FAIRFIELD HIGH SCHOOL050911,FAIRFIELD HIGH SCHOOL,Fairfield,Solano,Adm GPA,
FAIRFIELD HIGH SCHOOL050911,FAIRFIELD HIGH SCHOOL,Fairfield,Solano,App GPA,3.642307692
FALLBROOK UNION HIGH SCHOOL050925,FALLBROOK UNION HIGH SCHOOL,Fallbrook,San Diego,Enrl GPA,
FALLBROOK UNION HIGH SCHOOL050925,FALLBROOK UNION HIGH SCHOOL,Fallbrook,San Diego,Adm GPA,
FALLBROOK UNION HIGH SCHOOL050925,FALLBROOK UNION HIGH SCHOOL,Fallbrook,San Diego,App GPA,3.931
FARMERSVILLE HIGH SCHOOL050924,FARMERSVILLE HIGH SCHOOL,Farmersville,Tulare,Enrl GPA,
FARMERSVILLE HIGH SCHOOL050924,FARMERSVILLE HIGH SCHOOL,Farmersville,Tulare,Adm GPA,
FARMERSVILLE HIGH SCHOOL050924,FARMERSVILLE HIGH SCHOOL,Farmersville,Tulare,App GPA,3.291111111
FELICITAS GONZALO MENDEZ HS054381,FELICITAS GONZALO MENDEZ HS,Los Angeles,Los Angeles,Enrl GPA,
FELICITAS GONZALO MENDEZ HS054381,FELICITAS GONZALO MENDEZ HS,Los Angeles,Los Angeles,Adm GPA,4.149090909
FELICITAS GONZALO MENDEZ HS054381,FELICITAS GONZALO MENDEZ HS,Los Angeles,Los Angeles,App GPA,3.857826087
FILLMORE HIGH SCHOOL050935,FILLMORE HIGH SCHOOL,Fillmore,Ventura,Enrl GPA,
FILLMORE HIGH SCHOOL050935,FILLMORE HIGH SCHOOL,Fillmore,Ventura,Adm GPA,
FILLMORE HIGH SCHOOL050935,FILLMORE HIGH SCHOOL,Fillmore,Ventura,App GPA,3.952857143
FIREBAUGH HIGH SCHOOL050937,FIREBAUGH HIGH SCHOOL,Firebaugh,Fresno,Enrl GPA,
FIREBAUGH HIGH SCHOOL050937,FIREBAUGH HIGH SCHOOL,Firebaugh,Fresno,Adm GPA,
FIREBAUGH HIGH SCHOOL050937,FIREBAUGH HIGH SCHOOL,Firebaugh,Fresno,App GPA,3.858461538
FLORIN HIGH SCHOOL052722,FLORIN HIGH SCHOOL,Sacramento,Sacramento,Enrl GPA,
FLORIN HIGH SCHOOL052722,FLORIN HIGH SCHOOL,Sacramento,Sacramento,Adm GPA,
FLORIN HIGH SCHOOL052722,FLORIN HIGH SCHOOL,Sacramento,Sacramento,App GPA,3.78375
FLOYD B BUCHANAN HIGH SCHOOL050618,FLOYD B BUCHANAN HIGH SCHOOL,Clovis,Fresno,Enrl GPA,
FLOYD B BUCHANAN HIGH SCHOOL050618,FLOYD B BUCHANAN HIGH SCHOOL,Clovis,Fresno,Adm GPA,4.238888889
FLOYD B BUCHANAN HIGH SCHOOL050618,FLOYD B BUCHANAN HIGH SCHOOL,Clovis,Fresno,App GPA,4.092203390
FOLSOM HIGH SCHOOL050940,FOLSOM HIGH SCHOOL,Folsom,Sacramento,Enrl GPA,4.22125
FOLSOM HIGH SCHOOL050940,FOLSOM HIGH SCHOOL,Folsom,Sacramento,Adm GPA,4.2325
FOLSOM HIGH SCHOOL050940,FOLSOM HIGH SCHOOL,Folsom,Sacramento,App GPA,3.91496
FONTANA HIGH SCHOOL050945,FONTANA HIGH SCHOOL,Fontana,San Bernardino,Enrl GPA,
FONTANA HIGH SCHOOL050945,FONTANA HIGH SCHOOL,Fontana,San Bernardino,Adm GPA,4.142727273
FONTANA HIGH SCHOOL050945,FONTANA HIGH SCHOOL,Fontana,San Bernardino,App GPA,3.734897959
FOOTHILL HIGH SCHOOL050213,FOOTHILL HIGH SCHOOL,Bakersfield,Kern,Enrl GPA,
FOOTHILL HIGH SCHOOL050213,FOOTHILL HIGH SCHOOL,Bakersfield,Kern,Adm GPA,
FOOTHILL HIGH SCHOOL050213,FOOTHILL HIGH SCHOOL,Bakersfield,Kern,App GPA,3.778333333
FOOTHILL HIGH SCHOOL052131,FOOTHILL HIGH SCHOOL,Sacramento,Sacramento,Enrl GPA,
FOOTHILL HIGH SCHOOL052131,FOOTHILL HIGH SCHOOL,Sacramento,Sacramento,Adm GPA,
FOOTHILL HIGH SCHOOL052131,FOOTHILL HIGH SCHOOL,Sacramento,Sacramento,App GPA,3.726818182
FOOTHILL HIGH SCHOOL052497,FOOTHILL HIGH SCHOOL,Pleasanton,Alameda,Enrl GPA,4.2
FOOTHILL HIGH SCHOOL052497,FOOTHILL HIGH SCHOOL,Pleasanton,Alameda,Adm GPA,4.216923077
FOOTHILL HIGH SCHOOL052497,FOOTHILL HIGH SCHOOL,Pleasanton,Alameda,App GPA,3.974625
FOOTHILL HIGH SCHOOL052581,FOOTHILL HIGH SCHOOL,Palo Cedro,Shasta,Enrl GPA,
FOOTHILL HIGH SCHOOL052581,FOOTHILL HIGH SCHOOL,Palo Cedro,Shasta,Adm GPA,
FOOTHILL HIGH SCHOOL052581,FOOTHILL HIGH SCHOOL,Palo Cedro,Shasta,App GPA,3.955
FOOTHILL HIGH SCHOOL053234,FOOTHILL HIGH SCHOOL,Santa Ana,Orange,Enrl GPA,
FOOTHILL HIGH SCHOOL053234,FOOTHILL HIGH SCHOOL,Santa Ana,Orange,Adm GPA,4.207142857
FOOTHILL HIGH SCHOOL053234,FOOTHILL HIGH SCHOOL,Santa Ana,Orange,App GPA,3.956101695
FOOTHILL TECHNOLOGY HS053691,FOOTHILL TECHNOLOGY HS,Ventura,Ventura,Enrl GPA,
FOOTHILL TECHNOLOGY HS053691,FOOTHILL TECHNOLOGY HS,Ventura,Ventura,Adm GPA,
FOOTHILL TECHNOLOGY HS053691,FOOTHILL TECHNOLOGY HS,Ventura,Ventura,App GPA,4.018148148
FOREST CHARTER SCHOOL052226,FOREST CHARTER SCHOOL,Nevada City,Nevada,Enrl GPA,
FOREST CHARTER SCHOOL052226,FOREST CHARTER SCHOOL,Nevada City,Nevada,Adm GPA,
FOREST CHARTER SCHOOL052226,FOREST CHARTER SCHOOL,Nevada City,Nevada,App GPA,4.108333333
FORT BRAGG HIGH SCHOOL050955,FORT BRAGG HIGH SCHOOL,Fort Bragg,Mendocino,Enrl GPA,
FORT BRAGG HIGH SCHOOL050955,FORT BRAGG HIGH SCHOOL,Fort Bragg,Mendocino,Adm GPA,
FORT BRAGG HIGH SCHOOL050955,FORT BRAGG HIGH SCHOOL,Fort Bragg,Mendocino,App GPA,3.979444444
FORTUNA UNION HIGH SCHOOL050965,FORTUNA UNION HIGH SCHOOL,Fortuna,Humboldt,Enrl GPA,
FORTUNA UNION HIGH SCHOOL050965,FORTUNA UNION HIGH SCHOOL,Fortuna,Humboldt,Adm GPA,
FORTUNA UNION HIGH SCHOOL050965,FORTUNA UNION HIGH SCHOOL,Fortuna,Humboldt,App GPA,3.972352941
FOSHAY LEARNING CENTER051788,FOSHAY LEARNING CENTER,Los Angeles,Los Angeles,Enrl GPA,
FOSHAY LEARNING CENTER051788,FOSHAY LEARNING CENTER,Los Angeles,Los Angeles,Adm GPA,4.131666667
FOSHAY LEARNING CENTER051788,FOSHAY LEARNING CENTER,Los Angeles,Los Angeles,App GPA,3.573125
FOUNTAIN VALLEY HIGH SCHOOL050964,FOUNTAIN VALLEY HIGH SCHOOL,Fountain Valley,Orange,Enrl GPA,4.17375
FOUNTAIN VALLEY HIGH SCHOOL050964,FOUNTAIN VALLEY HIGH SCHOOL,Fountain Valley,Orange,Adm GPA,4.231666667
FOUNTAIN VALLEY HIGH SCHOOL050964,FOUNTAIN VALLEY HIGH SCHOOL,Fountain Valley,Orange,App GPA,4.001445087
FOWLER HIGH SCHOOL050967,FOWLER HIGH SCHOOL,Fowler,Fresno,Enrl GPA,
FOWLER HIGH SCHOOL050967,FOWLER HIGH SCHOOL,Fowler,Fresno,Adm GPA,4.191666667
FOWLER HIGH SCHOOL050967,FOWLER HIGH SCHOOL,Fowler,Fresno,App GPA,4.065294118
FRANCISCO BRAVO MEDICAL MAGNET051719,FRANCISCO BRAVO MEDICAL MAGNET,Los Angeles,Los Angeles,Enrl GPA,4.186
FRANCISCO BRAVO MEDICAL MAGNET051719,FRANCISCO BRAVO MEDICAL MAGNET,Los Angeles,Los Angeles,Adm GPA,4.2264
FRANCISCO BRAVO MEDICAL MAGNET051719,FRANCISCO BRAVO MEDICAL MAGNET,Los Angeles,Los Angeles,App GPA,3.893375
FRANKLIN HIGH SCHOOL050824,FRANKLIN HIGH SCHOOL,Elk Grove,Sacramento,Enrl GPA,3.976
FRANKLIN HIGH SCHOOL050824,FRANKLIN HIGH SCHOOL,Elk Grove,Sacramento,Adm GPA,4.144166667
FRANKLIN HIGH SCHOOL050824,FRANKLIN HIGH SCHOOL,Elk Grove,Sacramento,App GPA,4.005241379
FRANKLIN HIGH SCHOOL053425,FRANKLIN HIGH SCHOOL,Stockton,San Joaquin,Enrl GPA,
FRANKLIN HIGH SCHOOL053425,FRANKLIN HIGH SCHOOL,Stockton,San Joaquin,Adm GPA,4.015
FRANKLIN HIGH SCHOOL053425,FRANKLIN HIGH SCHOOL,Stockton,San Joaquin,App GPA,3.633636364
FRED C BEYER HIGH SCHOOL051986,FRED C BEYER HIGH SCHOOL,Modesto,Stanislaus,Enrl GPA,
FRED C BEYER HIGH SCHOOL051986,FRED C BEYER HIGH SCHOOL,Modesto,Stanislaus,Adm GPA,
FRED C BEYER HIGH SCHOOL051986,FRED C BEYER HIGH SCHOOL,Modesto,Stanislaus,App GPA,4.0212
FREEDOM HIGH SCHOOL050372,FREEDOM HIGH SCHOOL,Oakley,Contra Costa,Enrl GPA,4.162
FREEDOM HIGH SCHOOL050372,FREEDOM HIGH SCHOOL,Oakley,Contra Costa,Adm GPA,4.195
FREEDOM HIGH SCHOOL050372,FREEDOM HIGH SCHOOL,Oakley,Contra Costa,App GPA,3.961176471
FREMONT ACD ENGINEERING/DESIGN054523,FREMONT ACD ENGINEERING/DESIGN,Pomona,Los Angeles,Enrl GPA,
FREMONT ACD ENGINEERING/DESIGN054523,FREMONT ACD ENGINEERING/DESIGN,Pomona,Los Angeles,Adm GPA,
FREMONT ACD ENGINEERING/DESIGN054523,FREMONT ACD ENGINEERING/DESIGN,Pomona,Los Angeles,App GPA,3.594
FREMONT HIGH SCHOOL052205,FREMONT HIGH SCHOOL,Oakland,Alameda,Enrl GPA,
FREMONT HIGH SCHOOL052205,FREMONT HIGH SCHOOL,Oakland,Alameda,Adm GPA,
FREMONT HIGH SCHOOL052205,FREMONT HIGH SCHOOL,Oakland,Alameda,App GPA,3.809655172
FREMONT HIGH SCHOOL053460,FREMONT HIGH SCHOOL,Sunnyvale,Santa Clara,Enrl GPA,4.287
FREMONT HIGH SCHOOL053460,FREMONT HIGH SCHOOL,Sunnyvale,Santa Clara,Adm GPA,4.295
FREMONT HIGH SCHOOL053460,FREMONT HIGH SCHOOL,Sunnyvale,Santa Clara,App GPA,4.063481481
FRESNO HIGH SCHOOL050985,FRESNO HIGH SCHOOL,Fresno,Fresno,Enrl GPA,4.064
FRESNO HIGH SCHOOL050985,FRESNO HIGH SCHOOL,Fresno,Fresno,Adm GPA,4.13
FRESNO HIGH SCHOOL050985,FRESNO HIGH SCHOOL,Fresno,Fresno,App GPA,3.812692308
FRONTIER HIGH SCHOOL054058,FRONTIER HIGH SCHOOL,Bakersfield,Kern,Enrl GPA,
FRONTIER HIGH SCHOOL054058,FRONTIER HIGH SCHOOL,Bakersfield,Kern,Adm GPA,
FRONTIER HIGH SCHOOL054058,FRONTIER HIGH SCHOOL,Bakersfield,Kern,App GPA,4.056111111
FULLERTON UNION HIGH SCHOOL051010,FULLERTON UNION HIGH SCHOOL,Fullerton,Orange,Enrl GPA,
FULLERTON UNION HIGH SCHOOL051010,FULLERTON UNION HIGH SCHOOL,Fullerton,Orange,Adm GPA,4.212222222
FULLERTON UNION HIGH SCHOOL051010,FULLERTON UNION HIGH SCHOOL,Fullerton,Orange,App GPA,4.084888889
FUTURES HIGH SCHOOL052144,FUTURES HIGH SCHOOL,Sacramento,Sacramento,Enrl GPA,
FUTURES HIGH SCHOOL052144,FUTURES HIGH SCHOOL,Sacramento,Sacramento,Adm GPA,
FUTURES HIGH SCHOOL052144,FUTURES HIGH SCHOOL,Sacramento,Sacramento,App GPA,3.680909091
GABRIELINO HIGH SCHOOL053062,GABRIELINO HIGH SCHOOL,San Gabriel,Los Angeles,Enrl GPA,
GABRIELINO HIGH SCHOOL053062,GABRIELINO HIGH SCHOOL,San Gabriel,Los Angeles,Adm GPA,4.194285714
GABRIELINO HIGH SCHOOL053062,GABRIELINO HIGH SCHOOL,San Gabriel,Los Angeles,App GPA,3.995189873
GAHR HIGH SCHOOL050722,GAHR HIGH SCHOOL,Cerritos,Los Angeles,Enrl GPA,
