Calculation1,City,County/State/ Territory,Count,gender,School,Pivot Field Values
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,Enr,Other,ABRAHAM LINCOLN HIGH SCHOOL,
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,Adm,Other,ABRAHAM LINCOLN HIGH SCHOOL,
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,App,Other,ABRAHAM LINCOLN HIGH SCHOOL,
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,Enr,Male,ABRAHAM LINCOLN HIGH SCHOOL,9
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,Adm,Male,ABRAHAM LINCOLN HIGH SCHOOL,12
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,App,Male,ABRAHAM LINCOLN HIGH SCHOOL,91
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,Enr,Female,ABRAHAM LINCOLN HIGH SCHOOL,7
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,Adm,Female,ABRAHAM LINCOLN HIGH SCHOOL,14
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,App,Female,ABRAHAM LINCOLN HIGH SCHOOL,84
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,Enr,All,ABRAHAM LINCOLN HIGH SCHOOL,16
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,Adm,All,ABRAHAM LINCOLN HIGH SCHOOL,26
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,App,All,ABRAHAM LINCOLN HIGH SCHOOL,182
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,Enr,Unknown,ABRAHAM LINCOLN HIGH SCHOOL,
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,Adm,Unknown,ABRAHAM LINCOLN HIGH SCHOOL,
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,App,Unknown,ABRAHAM LINCOLN HIGH SCHOOL,
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,Enr,Other,ABRAHAM LINCOLN HIGH SCHOOL,
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,Adm,Other,ABRAHAM LINCOLN HIGH SCHOOL,
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,App,Other,ABRAHAM LINCOLN HIGH SCHOOL,
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,Enr,Male,ABRAHAM LINCOLN HIGH SCHOOL,
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,Adm,Male,ABRAHAM LINCOLN HIGH SCHOOL,
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,App,Male,ABRAHAM LINCOLN HIGH SCHOOL,29
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,Enr,Female,ABRAHAM LINCOLN HIGH SCHOOL,6
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,Adm,Female,ABRAHAM LINCOLN HIGH SCHOOL,11
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,App,Female,ABRAHAM LINCOLN HIGH SCHOOL,41
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,Enr,All,ABRAHAM LINCOLN HIGH SCHOOL,8
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,Adm,All,ABRAHAM LINCOLN HIGH SCHOOL,13
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,App,All,ABRAHAM LINCOLN HIGH SCHOOL,74
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,Enr,Unknown,ACAD FOR ACADEMIC EXCELLENCE,
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,Adm,Unknown,ACAD FOR ACADEMIC EXCELLENCE,
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,App,Unknown,ACAD FOR ACADEMIC EXCELLENCE,
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,Enr,Other,ACAD FOR ACADEMIC EXCELLENCE,
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,Adm,Other,ACAD FOR ACADEMIC EXCELLENCE,
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,App,Other,ACAD FOR ACADEMIC EXCELLENCE,
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,Enr,Male,ACAD FOR ACADEMIC EXCELLENCE,
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,Adm,Male,ACAD FOR ACADEMIC EXCELLENCE,
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,App,Male,ACAD FOR ACADEMIC EXCELLENCE,5
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,Enr,Female,ACAD FOR ACADEMIC EXCELLENCE,
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,Adm,Female,ACAD FOR ACADEMIC EXCELLENCE,
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,App,Female,ACAD FOR ACADEMIC EXCELLENCE,9
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,Enr,All,ACAD FOR ACADEMIC EXCELLENCE,
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,Adm,All,ACAD FOR ACADEMIC EXCELLENCE,
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,App,All,ACAD FOR ACADEMIC EXCELLENCE,15
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,Enr,Unknown,ACADEMIA AVANCE CHARTER SCHOOL,
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,Adm,Unknown,ACADEMIA AVANCE CHARTER SCHOOL,
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,App,Unknown,ACADEMIA AVANCE CHARTER SCHOOL,
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,Enr,Other,ACADEMIA AVANCE CHARTER SCHOOL,
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,Adm,Other,ACADEMIA AVANCE CHARTER SCHOOL,
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,App,Other,ACADEMIA AVANCE CHARTER SCHOOL,
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,Enr,Male,ACADEMIA AVANCE CHARTER SCHOOL,
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,Adm,Male,ACADEMIA AVANCE CHARTER SCHOOL,
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,App,Male,ACADEMIA AVANCE CHARTER SCHOOL,
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,Enr,Female,ACADEMIA AVANCE CHARTER SCHOOL,
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,Adm,Female,ACADEMIA AVANCE CHARTER SCHOOL,
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,App,Female,ACADEMIA AVANCE CHARTER SCHOOL,
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,Enr,All,ACADEMIA AVANCE CHARTER SCHOOL,
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,Adm,All,ACADEMIA AVANCE CHARTER SCHOOL,
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,App,All,ACADEMIA AVANCE CHARTER SCHOOL,7
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,Enr,Unknown,ACADEMIC LEADERSHIP COMMUNITY,
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,Adm,Unknown,ACADEMIC LEADERSHIP COMMUNITY,
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,App,Unknown,ACADEMIC LEADERSHIP COMMUNITY,
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,Enr,Other,ACADEMIC LEADERSHIP COMMUNITY,
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,Adm,Other,ACADEMIC LEADERSHIP COMMUNITY,
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,App,Other,ACADEMIC LEADERSHIP COMMUNITY,
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,Enr,Male,ACADEMIC LEADERSHIP COMMUNITY,
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,Adm,Male,ACADEMIC LEADERSHIP COMMUNITY,
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,App,Male,ACADEMIC LEADERSHIP COMMUNITY,14
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,Enr,Female,ACADEMIC LEADERSHIP COMMUNITY,
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,Adm,Female,ACADEMIC LEADERSHIP COMMUNITY,
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,App,Female,ACADEMIC LEADERSHIP COMMUNITY,10
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,Enr,All,ACADEMIC LEADERSHIP COMMUNITY,
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,Adm,All,ACADEMIC LEADERSHIP COMMUNITY,
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,App,All,ACADEMIC LEADERSHIP COMMUNITY,24
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,Enr,Unknown,ACADEMIES EDUCATION/EMPOWERMNT,
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,Adm,Unknown,ACADEMIES EDUCATION/EMPOWERMNT,
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,App,Unknown,ACADEMIES EDUCATION/EMPOWERMNT,
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,Enr,Other,ACADEMIES EDUCATION/EMPOWERMNT,
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,Adm,Other,ACADEMIES EDUCATION/EMPOWERMNT,
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,App,Other,ACADEMIES EDUCATION/EMPOWERMNT,
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,Enr,Male,ACADEMIES EDUCATION/EMPOWERMNT,
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,Adm,Male,ACADEMIES EDUCATION/EMPOWERMNT,
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,App,Male,ACADEMIES EDUCATION/EMPOWERMNT,
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,Enr,Female,ACADEMIES EDUCATION/EMPOWERMNT,
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,Adm,Female,ACADEMIES EDUCATION/EMPOWERMNT,
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,App,Female,ACADEMIES EDUCATION/EMPOWERMNT,5
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,Enr,All,ACADEMIES EDUCATION/EMPOWERMNT,
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,Adm,All,ACADEMIES EDUCATION/EMPOWERMNT,
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,App,All,ACADEMIES EDUCATION/EMPOWERMNT,7
ACADEMIES OF ANTELOPE VALLEY54659,Lancaster,Los Angeles,Enr,Unknown,ACADEMIES OF ANTELOPE VALLEY,
ACADEMIES OF ANTELOPE VALLEY54659,Lancaster,Los Angeles,Adm,Unknown,ACADEMIES OF ANTELOPE VALLEY,
ACADEMIES OF ANTELOPE VALLEY54659,Lancaster,Los Angeles,App,Unknown,ACADEMIES OF ANTELOPE VALLEY,
ACADEMIES OF ANTELOPE VALLEY54659,Lancaster,Los Angeles,Enr,Other,ACADEMIES OF ANTELOPE VALLEY,
ACADEMIES OF ANTELOPE VALLEY54659,Lancaster,Los Angeles,Adm,Other,ACADEMIES OF ANTELOPE VALLEY,
ACADEMIES OF ANTELOPE VALLEY54659,Lancaster,Los Angeles,App,Other,ACADEMIES OF ANTELOPE VALLEY,
ACADEMIES OF ANTELOPE VALLEY54659,Lancaster,Los Angeles,Enr,Male,ACADEMIES OF ANTELOPE VALLEY,
ACADEMIES OF ANTELOPE VALLEY54659,Lancaster,Los Angeles,Adm,Male,ACADEMIES OF ANTELOPE VALLEY,
ACADEMIES OF ANTELOPE VALLEY54659,Lancaster,Los Angeles,App,Male,ACADEMIES OF ANTELOPE VALLEY,
ACADEMIES OF ANTELOPE VALLEY54659,Lancaster,Los Angeles,Enr,Female,ACADEMIES OF ANTELOPE VALLEY,
ACADEMIES OF ANTELOPE VALLEY54659,Lancaster,Los Angeles,Adm,Female,ACADEMIES OF ANTELOPE VALLEY,
ACADEMIES OF ANTELOPE VALLEY54659,Lancaster,Los Angeles,App,Female,ACADEMIES OF ANTELOPE VALLEY,
ACADEMIES OF ANTELOPE VALLEY54659,Lancaster,Los Angeles,Enr,All,ACADEMIES OF ANTELOPE VALLEY,
ACADEMIES OF ANTELOPE VALLEY54659,Lancaster,Los Angeles,Adm,All,ACADEMIES OF ANTELOPE VALLEY,
ACADEMIES OF ANTELOPE VALLEY54659,Lancaster,Los Angeles,App,All,ACADEMIES OF ANTELOPE VALLEY,
ACADEMY OF CAREERS AND EXPLORA51123,Helendale,San Bernardino,Enr,Unknown,ACADEMY OF CAREERS AND EXPLORA,
ACADEMY OF CAREERS AND EXPLORA51123,Helendale,San Bernardino,Adm,Unknown,ACADEMY OF CAREERS AND EXPLORA,
ACADEMY OF CAREERS AND EXPLORA51123,Helendale,San Bernardino,App,Unknown,ACADEMY OF CAREERS AND EXPLORA,
ACADEMY OF CAREERS AND EXPLORA51123,Helendale,San Bernardino,Enr,Other,ACADEMY OF CAREERS AND EXPLORA,
ACADEMY OF CAREERS AND EXPLORA51123,Helendale,San Bernardino,Adm,Other,ACADEMY OF CAREERS AND EXPLORA,
ACADEMY OF CAREERS AND EXPLORA51123,Helendale,San Bernardino,App,Other,ACADEMY OF CAREERS AND EXPLORA,
ACADEMY OF CAREERS AND EXPLORA51123,Helendale,San Bernardino,Enr,Female,ACADEMY OF CAREERS AND EXPLORA,
